series,iter,mut_prob,time_sec,best_criterion
0,0,0.0004,29.8334,61
0,1,0.0004,12.8497,61
0,2,0.0004,22.7254,39
0,3,0.0004,11.9044,51
0,4,0.0004,17.7661,46
0,5,0.0004,17.7567,45
0,6,0.0004,18.3315,52
0,7,0.0004,14.5929,50
0,8,0.0004,17.3064,57
0,9,0.0004,11.8931,49
1,0,0.0006,22.9194,44
1,1,0.0006,17.1138,58
1,2,0.0006,33.8876,45
1,3,0.0006,12.0356,56
1,4,0.0006,19.7125,59
1,5,0.0006,15.6578,56
1,6,0.0006,20.9338,58
1,7,0.0006,24.0149,49
1,8,0.0006,29.6859,55
1,9,0.0006,30.353,50
2,0,0.0009,13.536,60
2,1,0.0009,14.7561,44
2,2,0.0009,20.0552,51
2,3,0.0009,38.8701,40
2,4,0.0009,12.5452,58
2,5,0.0009,21.3993,42
2,6,0.0009,15.9749,61
2,7,0.0009,18.7637,57
2,8,0.0009,29.9091,53
2,9,0.0009,11.4973,63
3,0,0.00135,21.0016,57
3,1,0.00135,20.8187,52
3,2,0.00135,14.2743,45
3,3,0.00135,17.3053,48
3,4,0.00135,20.2076,48
3,5,0.00135,19.9898,56
3,6,0.00135,20.6235,62
3,7,0.00135,25.6976,58
3,8,0.00135,34.1632,60
3,9,0.00135,12.8009,57
4,0,0.002025,11.4053,65
4,1,0.002025,11.8185,60
4,2,0.002025,14.2004,51
4,3,0.002025,18.7624,60
4,4,0.002025,15.3341,50
4,5,0.002025,19.4418,47
4,6,0.002025,19.3734,60
4,7,0.002025,34.4157,50
4,8,0.002025,15.3903,44
4,9,0.002025,16.8379,47
5,0,0.0030375,31.2302,40
5,1,0.0030375,19.7868,48
5,2,0.0030375,17.5419,48
5,3,0.0030375,22.4466,51
5,4,0.0030375,16.9797,56
5,5,0.0030375,12.7015,63
5,6,0.0030375,12.5705,52
5,7,0.0030375,34.4589,43
5,8,0.0030375,15.3893,47
5,9,0.0030375,28.742,56
6,0,0.00455625,13.099,52
6,1,0.00455625,24.6932,50
6,2,0.00455625,40.2384,52
6,3,0.00455625,21.6629,57
6,4,0.00455625,17.2837,45
6,5,0.00455625,29.7973,50
6,6,0.00455625,26.5815,57
6,7,0.00455625,17.1317,60
6,8,0.00455625,18.6193,54
6,9,0.00455625,13.5944,52
7,0,0.00683438,23.5182,57
7,1,0.00683438,12.8937,47
7,2,0.00683438,18.0358,57
7,3,0.00683438,17.5493,47
7,4,0.00683438,21.2202,47
7,5,0.00683438,17.4237,56
7,6,0.00683438,21.2702,50
7,7,0.00683438,22.6207,48
7,8,0.00683438,27.7107,55
7,9,0.00683438,20.4804,57
8,0,0.0102516,13.8172,53
8,1,0.0102516,18.9786,57
8,2,0.0102516,23.9093,54
8,3,0.0102516,27.6053,50
8,4,0.0102516,12.8988,61
8,5,0.0102516,24.2881,54
8,6,0.0102516,11.6045,49
8,7,0.0102516,19.1741,54
8,8,0.0102516,12.6672,55
8,9,0.0102516,12.9235,60
9,0,0.0153773,17.6134,59
9,1,0.0153773,24.4306,47
9,2,0.0153773,12.2138,51
9,3,0.0153773,15.8088,60
9,4,0.0153773,13.7865,51
9,5,0.0153773,29.5265,50
9,6,0.0153773,25.4678,42
9,7,0.0153773,15.077,42
9,8,0.0153773,12.893,55
9,9,0.0153773,20.5109,58
